iter	Passed	Remaining
0	0	98
1	1	89
2	2	93
3	3	89
4	4	91
5	5	88
6	6	87
7	7	91
8	9	91
9	10	90
10	10	88
11	11	86
12	12	83
13	13	82
14	14	80
15	14	78
16	15	77
17	16	75
18	17	74
19	18	73
20	19	72
21	19	70
22	20	69
23	21	67
24	22	66
25	22	65
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	35	46
43	36	45
44	36	44
45	37	44
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	50	29
63	51	28
64	52	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	59	22
72	59	22
73	60	21
74	61	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
